DateTime,Date,Time,Name,LastModified,Value,RawValue
2021-11-24 14:13:52.688,2021-11-24,14:13:52.688,"g",2021-11-24 14:13:46.712,0,
2021-11-24 14:13:52.789,2021-11-24,14:13:52.789,"Alram_ana1",2021-11-24 14:13:52.716,100,100
2021-11-24 14:13:52.789,2021-11-24,14:13:52.789,"b",2021-11-24 14:13:46.712,0,
2021-11-24 14:13:52.789,2021-11-24,14:13:52.789,"g",2021-11-24 14:13:46.712,0,
2021-11-24 14:13:52.890,2021-11-24,14:13:52.890,"Alram_ana1",2021-11-24 14:13:52.716,100,100
2021-11-24 14:13:52.890,2021-11-24,14:13:52.890,"b",2021-11-24 14:13:46.712,0,
2021-11-24 14:13:52.890,2021-11-24,14:13:52.890,"g",2021-11-24 14:13:46.712,0,
2021-11-24 14:13:52.989,2021-11-24,14:13:52.989,"Alram_ana1",2021-11-24 14:13:52.716,100,100
2021-11-24 14:13:52.989,2021-11-24,14:13:52.989,"b",2021-11-24 14:13:46.712,0,
2021-11-24 14:13:52.989,2021-11-24,14:13:52.989,"g",2021-11-24 14:13:46.712,0,
2021-11-24 14:13:53.090,2021-11-24,14:13:53.090,"Alram_ana1",2021-11-24 14:13:52.716,100,100
2021-11-24 14:13:53.090,2021-11-24,14:13:53.090,"b",2021-11-24 14:13:46.712,0,
2021-11-24 14:13:53.090,2021-11-24,14:13:53.090,"g",2021-11-24 14:13:46.712,0,
2021-11-24 14:13:53.189,2021-11-24,14:13:53.189,"Alram_ana1",2021-11-24 14:13:53.187,96.8441814595661,97
2021-11-24 14:13:53.189,2021-11-24,14:13:53.189,"b",2021-11-24 14:13:46.712,0,
2021-11-24 14:13:53.189,2021-11-24,14:13:53.189,"g",2021-11-24 14:13:46.712,0,
2021-11-24 14:13:58.948,2021-11-24,14:13:58.948,"Alram_ana1",2021-11-24 14:13:58.948,95.8579881656805,96
2021-11-24 14:13:58.948,2021-11-24,14:13:58.948,"b",2021-11-24 14:13:46.712,0,
2021-11-24 14:13:58.948,2021-11-24,14:13:58.948,"g",2021-11-24 14:13:46.712,0,
2021-11-24 14:13:59.049,2021-11-24,14:13:59.049,"Alram_ana1",2021-11-24 14:13:58.987,100,100
2021-11-24 14:13:59.049,2021-11-24,14:13:59.049,"b",2021-11-24 14:13:46.712,0,
2021-11-24 14:13:59.049,2021-11-24,14:13:59.049,"g",2021-11-24 14:13:46.712,0,
2021-11-24 14:13:59.149,2021-11-24,14:13:59.149,"Alram_ana1",2021-11-24 14:13:58.987,100,100
2021-11-24 14:13:59.149,2021-11-24,14:13:59.149,"b",2021-11-24 14:13:46.712,0,
2021-11-24 14:13:59.149,2021-11-24,14:13:59.149,"g",2021-11-24 14:13:46.712,0,
